"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"RP11-671J11.5"	1.009	0.724	0.08	0.702	0.795	-0.18	1.052	0.737	0.168	0.202	2.43	0.052	0.038
"RP11-673C5.1"	-0.954	0.417	0.044	0.526	-0.065	-1.318	0.47	0.348	-0.249	0.233	1.732	0.589	-0.242
"RP11-676M6.1"	1.255	-0.67	1.164	0.327	-0.197	-0.319	1.653	0.568	1.109	1.465	1.436	0.868	0.968
"RP11-678G14.3"	-1.664	-0.291	-0.333	-0.164	-0.329	0.952	-0.06	-0.068	-0.446	-0.608	-1.615	-0.164	-0.307
"RP11-67L3.5"	-0.547	0.438	0.531	0.149	0.006	-1.753	-0.111	0.02	0.404	0.452	0.205	-0.354	0.045
"RP11-680A11.5"	-0.728	0.548	-0.485	0.561	0.684	0.624	-0.588	-0.085	-0.793	-0.717	0.616	-0.083	-1.365
"RP11-686D22.3"	-0.524	0.005	-0.296	0.259	0.448	1.561	0.161	0.026	-0.425	-0.588	0.561	0.509	-0.399
"RP11-686D22.7"	-0.843	0.107	-0.511	0.415	0.713	2.998	0.337	-0.021	-0.384	-0.745	1.16	0.737	-0.287
"RP11-688G15.3"	0.682	0.402	0.897	0.668	0.236	-0.389	-0.402	0.347	0.073	0.348	0.456	-0.597	0.292
"RP11-690I21.1"	-1.464	0.03	-0.84	0.079	0.085	0.567	-0.03	-0.213	-0.906	-1.002	-0.46	-1.358	-1.436
"RP11-697E22.1"	0.59	1.188	0.266	0.413	0.038	-0.375	-0.369	0.351	-0.013	-0.131	0.888	-0.309	0.154
"RP11-69E11.4"	-1.981	-0.774	-1.694	0.189	0.814	2.339	-1.461	-1.431	-1.924	-2.292	-0.671	-2.352	-2.3
"RP11-6N17.4"	-1.029	-0.65	-0.23	-0.542	-1.329	-0.516	0.65	0.803	0.432	0.238	1.625	-0.21	-0.231
"RP11-701H24.4"	-1.359	-1.07	-0.452	-0.131	-0.594	1.036	0.387	-0.007	-0.449	-0.618	-0.531	0.181	-1.81
"RP11-707P17.2"	-0.789	-0.104	-0.401	0.068	0.169	0.905	0.04	-0.045	-1.247	-1.411	-0.063	-0.406	-0.517
"RP11-70C1.3"	-2.916	-1.892	2.427	-0.765	-2.83	-4.843	1.991	-0.228	-0.077	2.427	0.341	2.087	-0.388
"RP11-712L6.5"	-0.661	0.133	0.072	0.062	-0.211	0.195	0.097	0.151	-0.059	-0.069	0.516	0.43	-0.016
"RP11-713M15.2"	-1.625	-0.006	-0.06	-0.357	-0.271	1.257	0.455	1.394	0.9	-0.636	-1.156	0.846	0.167
"RP11-727A23.1"	-1.636	-0.113	0.128	0.213	0.155	-1.068	0.678	-0.257	-0.482	-0.275	0.383	-0.04	-0.791
"RP11-727A23.5"	-0.895	-0.007	-0.524	0.233	0.337	1.035	-0.027	0.031	-0.501	-0.518	0.066	-0.58	-1.287
"RP11-727F15.12"	-0.624	0.138	0.16	-0.031	-0.525	0.501	-0.2	0.282	0.008	0.171	0.906	-0.643	-0.396
"RP11-72I8.1"	-0.968	-0.14	-1.204	0.207	0.66	3.379	-0.763	-0.776	-1.075	-1.214	-0.259	-2.005	-1.76
"RP11-734K23.9"	-1.402	-0.088	-0.05	0.326	1.578	3.291	-2.762	-0.267	-1.788	-2.175	0.132	-1.659	-2.603
"RP11-73M18.10"	-1.146	-0.436	-0.836	-0.042	0.373	0.596	0.599	-0.393	-1.308	-1.212	0.19	-0.976	-1.433
"RP11-73M18.7"	-0.968	-0.317	-0.798	0.144	0.366	1.108	0.596	-0.486	-1.26	-1.296	0.317	-1.045	-1.395
"RP11-750B16.1"	0.859	0.04	0.097	-0.098	-0.097	0.88	0.263	0.2	0.274	0.102	0.263	0.23	0.332
"RP11-750H9.5"	-1.195	-0.437	-0.123	0.072	0.59	5.809	0.79	-0.221	-1.476	-1.926	0.807	0.01	-0.16
"RP11-755F10.3"	-0.751	-0.044	-0.771	0.08	0.163	-0.081	-0.466	-0.191	-0.989	-1.025	-0.27	-0.746	-1.98
"RP11-760H22.2"	-1.473	-0.237	-0.333	-0.829	-0.841	2.223	-0.022	0.528	0.629	-0.379	1.559	-0.515	-1.316
"RP11-762H8.2"	-0.793	-0.11	-0.623	0.133	0.204	0.583	-0.1	-0.456	-0.614	-0.591	-0.326	-1.01	-1.396
"RP11-762L8.6"	-0.945	-0.232	-0.917	-0.068	-0.585	1.176	-1.156	-0.123	-0.681	-0.997	-0.127	-0.412	-0.642
"RP11-770J1.3"	-0.799	0.12	-0.291	-0.257	-0.618	1.958	1.217	0.45	0.301	0.169	-0.242	-0.298	-0.289
"RP11-770J1.5"	0.544	0.188	-0.247	0.784	0.699	0.154	-0.174	0.035	-0.394	-1.137	0.66	-1.09	-0.385
"RP11-774O3.3"	-0.636	-1.063	-0.293	-0.861	-0.316	1.493	0.156	0.113	-0.685	-0.872	-0.378	-1.725	-1.557
"RP11-777F6.3"	-0.506	-0.19	-0.79	-0.067	0.119	0.141	0.194	-0.068	-0.48	-0.545	-0.038	-0.516	-0.491
"RP11-77P16.4"	-0.515	-0.151	-0.009	0.112	-0.225	1.258	-0.053	-0.046	-0.027	-0.159	0.293	0.36	-0.664
"RP11-783K16.13"	-0.854	0.471	0.144	0.442	0	-1.829	0.365	0.053	-0.513	-0.232	0.715	-0.769	-0.744
"RP11-783K16.5"	-0.939	1.913	1.113	-0.041	-0.078	-1.152	0.335	0.501	1.822	2.223	1.055	-0.562	0.428
"RP11-787I22.3"	-0.814	-0.259	-1.133	0.02	0.184	2.324	-0.304	-0.136	-1.45	-1.538	-0.534	-1.721	-1.271
"RP11-793H13.10"	-0.946	-0.042	-1.671	0.436	0.786	2.11	0.014	-0.84	-2.041	-2.123	-0.061	-1.941	-2.284
"RP11-793H13.8"	-1.857	-0.178	-0.826	0.244	0.144	1.068	0.199	-0.575	-0.818	-0.789	-0.559	-1.226	-1.846
"RP11-797H7.1"	-0.666	-0.178	-0.327	-0.026	0.011	1.367	0.969	-0.034	-0.354	-0.407	-0.077	-1.705	-0.848
"RP11-798G7.8"	-0.589	0.035	-0.201	0.091	0.134	3.414	-0.13	-0.219	-0.296	-0.41	-0.268	-0.708	-1.16
"RP11-798K23.5"	-0.508	-1.419	-0.724	0.231	0.546	3.458	0.232	0.135	-0.477	-0.93	1.414	0.217	-0.214
"RP11-799B12.4"	-0.764	-0.06	-0.28	0.096	0.098	0.585	-0.754	-0.143	-0.421	-0.424	-0.089	0.066	-1.006
"RP11-79P5.10"	0.885	-0.295	0.514	0.174	0.331	-0.396	1.256	0.495	0.827	0.662	0.637	1.034	0.758
"RP11-7F17.8"	-0.811	-0.329	-0.873	0.038	-0.06	0.473	-0.744	-0.344	-1.11	-1.238	-0.532	-0.843	-1.717
"RP11-800A3.4"	-0.86	1.009	0.819	-0.794	-0.538	2.594	-0.207	0.136	-0.243	0.09	1.107	-1.287	-0.236
"RP11-802E16.3"	-3.099	0.189	-0.997	0.585	0.273	2.013	-0.268	-0.771	-1.717	-2.31	-1.051	-0.997	-2.097
"RP11-805J14.5"	1.372	0.847	1.339	1.046	0.421	-0.738	1.35	0.796	1.423	1.364	2.594	1.562	1.262
"RP11-809O17.1"	-0.585	-0.08	0.437	0.503	0.778	2.426	-0.388	0.133	-0.074	-0.551	1.34	0.933	0.136
"RP11-817O13.9"	-0.836	-0.406	-0.66	-0.288	-0.916	0.508	-0.467	-0.042	-0.699	-0.845	0.263	-1.093	-0.453
"RP11-81A1.6"	-0.72	-0.448	-0.596	0.227	-0.239	0.22	-0.054	-0.619	-1.592	-1.837	0.359	-1.118	-1.22
"RP11-82L18.2"	-3.116	-0.164	-0.765	0.215	-0.324	0.275	-0.809	-0.504	-1.938	-2.695	-1.754	-2.211	-0.218
"RP11-834C11.7"	-1.068	-0.086	-1.127	0.108	-0.496	0.377	0.478	-0.18	-0.094	-0.266	0.742	-0.304	-0.531
"RP11-843P14.1"	-0.528	-0.088	-0.329	0.021	0.321	0.736	0.043	-0.201	-0.39	-0.487	-0.436	-0.818	-0.754
"RP11-848G14.5"	-1.677	-0.238	-0.482	0.165	0.876	4.443	0.447	-0.489	-1.939	-2.233	0.234	-0.459	-0.762
"RP11-848P1.2"	-0.994	0.087	-0.165	0.564	0.395	2.394	0.227	-0.012	-0.607	-0.573	0.111	-0.649	-0.62
"RP11-848P1.9"	-1.079	-0.206	-0.693	-0.15	0.401	1.722	0.35	0.075	-0.503	-0.845	0.297	-1.233	-0.471
"RP11-849F2.5"	-0.502	-0.115	-0.632	0.056	-0.006	1.418	0.079	-0.087	-0.585	-0.585	-0.181	-1.019	-0.452
"RP11-849H4.4"	-0.503	-0.023	-0.457	0.079	0.197	1.249	0.108	-0.176	-0.596	-0.682	-0.184	-0.818	-1.35
"RP11-861E21.2"	-0.647	-0.222	-0.811	0.07	0.228	0.195	-0.542	-0.07	-1.035	-1.077	0.025	-0.478	-0.695
"RP11-863K10.4"	-0.606	-0.71	-0.24	-0.201	-0.686	0.672	0.774	-0.152	-0.312	-0.416	-0.024	0.375	-0.665
"RP11-864I4.1"	-0.741	0.287	-0.567	0.355	0.668	-0.266	0.656	-0.081	-0.396	-0.572	0.652	0.126	-0.788
"RP11-864N7.2"	-1.07	-0.925	-1.244	-0.155	-0.109	-1.351	0.031	-0.254	-1.217	-1.079	-0.868	-1.882	-1.154
"RP11-875O11.1"	-0.785	-1.35	-0.944	-0.106	-0.297	1.715	0.891	-0.073	-1.058	-1.254	0.503	0.327	-0.829
"RP11-876N24.3"	-0.873	-0.072	-0.603	0.114	0.464	3.49	0.313	-0.192	-0.98	-1.878	1.061	-0.488	-0.498
"RP11-876N24.4"	-0.696	-0.126	-0.599	0.04	-0.004	1.677	0.243	-0.047	-0.932	-1.29	0.444	-0.137	-0.502
"RP11-876N24.5"	-0.619	-0.012	0.065	0.218	-0.083	1.026	0.422	0.106	-0.145	-0.563	0.521	0.547	-0.289
"RP11-87H9.2"	-0.915	-0.496	-0.763	0.27	-0.161	0.135	0.606	0.342	-0.582	-0.595	1.002	0.082	-0.637
"RP11-87H9.4"	-1.016	0.259	-1.109	0.413	-0.005	0.665	-0.479	-0.673	-1.583	-1.776	0.265	-1.535	-1.896
"RP11-87H9.5"	-0.6	-0.277	-0.689	0.007	-0.112	1.887	-0.007	-0.095	-0.624	-0.655	-0.128	-0.745	-0.94
"RP11-887P2.3"	-1.209	-0.489	0.47	-0.013	0.368	-0.936	0.367	0.024	0.079	0.93	0.481	0.2	-0.346
"RP11-889L3.1"	-0.819	-0.386	-0.684	0.084	0.957	-1.175	-2.546	0.069	-1.062	-1.054	-0.929	-1.757	-0.946
"RP11-890B15.3"	-0.963	-1.257	-0.721	0.035	-0.515	1.88	0.173	-0.183	-0.764	-1.143	0.154	-1.089	-0.71
"RP11-894P9.1"	-1.285	-0.124	-1.246	0.4	0.299	2.009	-1.115	-0.952	-1.66	-1.643	-0.204	-1.956	-2.157
"RP11-89K11.1"	-0.58	-1.371	-1.648	0.165	0.881	-0.603	-0.106	-0.036	-1.471	-1.52	0.581	0.221	-1.548
"RP11-90L1.8"	0.713	0.263	0.148	-0.169	-0.112	-0.021	-0.04	-0.138	0.093	0.452	0.193	-0.418	0.013
"RP11-927P21.5"	-2.079	-0.274	-1.737	-0.189	0.66	3.08	-0.925	-0.771	-2.171	-2.609	0.477	-3.023	-2.355
"RP11-92K2.2"	-0.58	-0.506	-0.609	0.105	0.173	-0.706	0.142	0.071	-0.711	-0.145	-0.267	-1.008	-0.803
"RP11-932O9.7"	-0.542	-0.406	-0.822	-0.016	-0.007	0.835	0.39	-0.034	-0.65	-0.669	0.204	-0.715	-0.979
"RP11-958N24.1"	-2.124	-1.269	-1.603	0.02	0.247	1.137	-0.398	-0.319	-2.065	-1.928	-0.762	-1.474	-2.237
"RP11-96D1.11"	1.112	0.393	0.186	0.03	-0.337	0.647	0.181	-0.231	-0.141	-0.737	0.452	-2.657	-0.938
"RP11-96D1.8"	-1.255	-0.066	-1.188	0.12	0.052	1.851	-0.108	-0.047	-1.02	-1.111	-0.065	-0.967	-1.98
"RP11-977G19.5"	-0.63	0.361	-0.375	0.11	0.111	0.995	-0.492	0.03	-0.64	-0.963	0.447	-0.722	-0.908
"RP11-97C16.1"	-0.753	0.52	-0.509	0.372	-0.098	0.191	-0.309	-0.426	-1.475	-1.872	0.361	-0.748	-1.611
"RP11-97O12.6"	-0.669	-0.099	-0.54	0.014	0.035	0.444	0.126	-0.127	-0.438	-0.539	-0.3	-0.65	-0.91
"RP11-97O12.7"	-0.691	-0.782	-0.868	-0.067	0.162	0.27	0.447	0.243	-0.458	-0.644	0.165	-0.818	-0.446
"RP11-982M15.2"	0.965	0.63	0.741	0.871	0.38	-0.261	0.56	-0.165	0.124	-0.016	1.489	0.98	0.432
"RP11-98J23.2"	-0.916	-0.644	0.051	0.09	0.079	1.816	0.892	-0.119	-1.025	-1.025	-0.053	-0.946	-1.592
"RP13-1032I1.7"	-0.504	0.535	-0.566	0.3	-0.431	-0.771	0.542	0.149	-0.885	-0.842	0.394	-1.171	-0.95
"RP13-104F24.1"	-1.748	-0.191	-1.635	0.1	0.886	2.366	-0.771	-0.55	-2.069	-2.406	0.929	-2.957	-2.027
"RP13-104F24.2"	-1.851	0.257	-1.838	0.18	0.794	2.304	-0.994	-0.85	-2.141	-2.704	0.715	-2.869	-2.341
"RP13-104F24.3"	-1.354	0.175	-1.718	0.13	0.947	2.581	-0.984	-0.636	-1.896	-2.491	1.322	-3.014	-1.911
"RP13-20L14.10"	-0.598	0.104	-0.617	0.082	0.188	0.331	-0.31	-0.272	-0.846	-1.054	-0.114	-1.123	-1.117
"RP13-39P12.3"	1.1	0.978	-0.017	1.174	0.641	0.142	-0.228	0.528	0.23	-0.055	1.637	-3.578	-0.441
"RP13-401N8.3"	-1.075	-0.448	-0.364	-0.38	0.024	-0.247	1.194	0.004	-0.212	-0.868	0.042	0.93	-1.304
"RP13-516M14.10"	-1.776	-0.116	-1.764	0.284	0.679	1.188	-0.819	-1.101	-1.981	-2.298	-0.319	-1.669	-2.789
"RP13-516M14.8"	-0.896	-0.036	-0.899	0.118	0.297	1.487	-0.006	-0.277	-1.208	-1.386	-0.162	-1	-1.516
"RP13-554M15.2"	-0.693	-0.124	-0.566	0.055	0.142	2.336	-0.374	-0.423	-0.972	-1.062	-0.455	-1.249	-1.163
"RP3-337O18.9"	-0.731	-0.016	-0.119	0.117	-0.006	0.912	0.232	0.224	-0.053	-0.32	0.379	0.266	-0.169
"RP3-368A4.5"	-1.605	-0.254	-0.987	0.354	0.142	3.24	0.284	-0.705	-0.993	-1.332	-0.197	-1.631	-1.66
"RP3-368A4.6"	-1.104	-0.258	-1.055	0.295	0.334	2.963	-0.553	-0.589	-1.249	-1.366	-0.161	-1.362	-1.978
"RP3-395M20.8"	-0.847	-0.234	-0.755	0.202	0.761	0.914	-0.33	-0.333	-1.777	-2.623	1.457	0.829	-0.94
"RP3-402G11.26"	-0.815	-0.139	-0.771	-0.017	-0.299	0.488	-0.562	-0.115	-0.925	-0.934	-0.089	-0.352	-1.006
"RP3-402G11.27"	-0.629	-0.296	-0.739	0.202	0.265	1.616	0.067	-0.568	-1.16	-1.197	-0.383	-1.456	-2.133
"RP3-402G11.28"	-0.701	-0.05	-0.833	0.232	0.36	1.299	0.135	-0.709	-1.267	-1.305	-0.394	-1.453	-2.144
"RP3-406A7.7"	-0.652	0.81	0.173	0.158	0.018	1.163	-1.907	-0.168	-0.39	-0.354	0.33	-3.31	-0.814
"RP3-414A15.12"	-0.917	-0.815	-1.023	-0.026	-0.249	0.985	-0.019	-0.664	-0.667	-0.878	-0.021	-0.368	-0.603
"RP3-417G15.1"	0.573	0.085	-0.228	0.041	0.222	-0.54	1.235	1.022	0.525	-0.278	1.365	-0.165	0.382
"RP3-423B22.5"	0.722	-0.156	0.253	0.174	0.462	0.053	0.628	0.556	0.684	0.301	0.848	0.147	0.329
"RP3-425C14.4"	-0.503	-1.123	-0.653	0.14	0.003	0.681	-0.137	0.003	-1.191	-1.464	1.164	-0.563	-0.176
"RP3-449O17.1"	-1.162	-0.092	-1.52	0.555	-0.019	0.822	-0.1	-0.11	-1.22	-1.146	-0.044	-0.995	-1.654
"RP3-461F17.3"	0.869	0.736	0.814	0.649	0.381	-0.922	1.372	1.638	1.283	1.83	2.067	1.339	0.96
"RP3-465N24.5"	-0.551	0.067	-0.358	0.239	0.187	-1.166	-0.303	-0.134	-0.525	-0.625	0.072	-0.534	-0.78
"RP3-468K18.6"	-0.742	-0.203	-0.384	0.148	0.057	0.645	0.283	-0.317	-0.618	-0.537	-0.347	-0.823	-0.988
"RP3-508I15.19"	-0.901	0.005	-0.764	0.252	0.32	1.456	-0.049	-0.535	-1.454	-1.42	-0.255	-0.948	-1.92
"RP3-508I15.21"	-0.944	0.073	-0.968	0.909	0.642	1.149	0.45	-0.471	-1.717	-1.653	0.162	-1.287	-2.401
"RP3-508I15.9"	-0.979	0.229	-0.301	0.644	-0.513	0.622	0.482	0.102	-0.108	0.472	-0.251	-0.989	-1.42
"RP3-510D11.2"	-0.512	0.319	-0.176	-0.018	0.91	0.526	0.16	0.401	0.037	0.765	0.26	0.302	0.603
"RP3-525N10.2"	-1.02	-1.514	-1.372	-0.11	-0.107	-2.085	-1.375	-0.194	-2.655	-2.749	-0.11	-1.54	-1.102
"RP4-545C24.1"	-0.833	0.238	-0.85	0.287	-0.343	0.819	0.224	0.974	-0.871	-0.243	0.928	0.118	-1.364
"RP4-545K15.5"	-0.651	-0.487	-0.563	-0.024	0.071	1.09	0.456	-0.132	-0.661	-0.784	-0.324	-0.169	0.23
"RP4-545L17.11"	0.782	1.183	0.832	0.585	0.12	-0.657	0.956	0.824	0.696	1.025	0.614	0.848	0.844
"RP4-548D19.3"	-1.609	0.623	0.299	0.299	0.079	-2.076	-2.604	-0.027	0.199	0.213	0.008	0.106	-1.672
"RP4-565E6.1"	-1.052	-1.044	-0.482	-0.152	-0.185	-0.976	0.081	0.102	-0.565	-0.357	0.571	0.203	-0.262
"RP4-583P15.14"	1.579	0.449	0.34	-0.14	0.23	1.565	-0.523	0.249	0.791	0.361	3.787	-0.097	0.269
"RP4-592A1.2"	0.652	0.425	0.529	0.248	-0.149	-0.453	0.787	0.574	0.975	0.763	1.045	1.155	0.464
"RP4-605O3.4"	0.922	-0.277	-0.583	-0.118	-0.199	2.08	0.714	-0.034	-0.361	-0.453	0.419	-0.647	-0.668
"RP4-612B15.3"	-0.542	0.184	-0.643	-0.075	0.149	0.482	-0.24	0.062	-0.126	0.056	0.848	-0.143	0.022
"RP4-614O4.13"	-0.743	-0.831	-0.521	0.142	-0.039	1.919	0.242	-0.339	-0.566	-0.613	0.115	-1.248	-1.021
"RP4-622L5.7"	-0.598	0.019	-0.424	0.055	0.09	0.7	-0.678	-0.053	-0.497	-0.594	-0.07	-0.415	-2.185
"RP4-635E18.8"	-1.221	-0.396	-1.805	0.363	0.461	1.413	-1.023	-0.812	-1.718	-2.052	-0.631	-2.607	-1.949
"RP4-657D16.3"	-0.788	-0.45	-0.958	0.062	-0.009	1.753	-0.031	-0.445	-1.041	-1.073	-0.351	-1.381	-1.21
"RP4-657E11.10"	-0.631	-0.291	0.091	-0.112	-0.11	0.447	0.352	-0.151	0.028	-0.053	0.135	-0.466	-0.282
"RP4-669L17.10"	-2.062	-0.076	-1.213	0.653	0.315	0.011	-0.045	-1.188	-1.451	-1.212	-0.723	-2.083	-2.396
"RP4-669L17.8"	-1.467	0.008	-1.068	0.554	0.264	-1.587	-0.558	-0.904	-1.73	-1.228	-0.323	-1.895	-1.894
"RP4-669P10.19"	-0.72	-0.058	-0.466	0.168	0.107	1.571	-0.067	-0.734	-0.85	-0.658	-0.514	-1.241	-2.024
"RP4-673M15.1"	0.521	0.031	0.285	0.114	0.52	0.512	-0.263	0.14	-0.063	-0.026	0.431	0.342	0.122
"RP4-681N20.5"	-0.687	0.098	-0.706	0.191	0.179	1.111	-0.017	-0.256	-1.105	-1.004	0.051	-0.877	-1.087
"RP4-682C21.2"	-0.609	-0.073	-0.392	0.006	0.084	1.642	-0.088	-0.241	-0.259	-0.329	-0.445	-0.14	-0.674
"RP4-717I23.3"	-2.448	-0.615	-1.456	0.893	-0.001	0.481	0.473	-0.316	-1.45	-1.852	-0.417	-1.61	-1.903
"RP4-742C19.13"	-0.908	-0.344	-0.921	0.02	0.308	0.733	-0.074	-0.224	-1.122	-1.219	-0.314	-1.429	-1.051
"RP4-756H11.5"	0.555	-0.344	-0.443	0.418	-0.014	-0.745	-0.165	0.256	-0.212	-0.403	1.776	-0.012	-0.442
"RP4-761J14.8"	0.546	0.446	-0.148	1.063	0.748	0.246	0.451	-0.034	-0.311	-0.35	0.967	-0.598	-0.941
"RP4-789D17.5"	-0.519	0.047	-0.123	0.065	-0.074	0.76	-0.242	0.052	-0.527	-0.548	0.07	-0.69	-0.666
"RP4-794H19.1"	-0.614	-0.325	-0.016	0.47	-0.157	-0.384	0.003	0.104	-0.126	-0.344	0.255	0.567	-0.352
"RP4-798P15.3"	-0.819	-0.381	-0.865	0.329	0.852	1.233	-0.681	-0.126	-0.327	-0.583	-0.428	-0.41	-1.004
"RP4-800G7.2"	-2.047	-0.361	-2.121	0.453	0.349	1.091	-0.559	-0.623	-1.934	-2.171	-0.778	-2.258	-2.753
"RP5-1024G6.5"	-0.533	0.219	0.478	0.114	-0.766	0.092	0.698	0.187	0.326	0.549	0.146	0.464	-0.089
"RP5-1024N4.4"	-1.006	-0.36	-0.742	-0.042	0.201	0.189	0.028	-0.142	-1.036	-1.2	-0.103	-0.892	-1.268
"RP5-1050D4.5"	-0.626	-0.326	-0.359	0.108	0.245	0.087	1.071	-0.073	-0.371	-0.433	0.449	-0.055	-0.491
"RP5-1057I20.4"	-1.218	-0.573	-1.245	0.209	-0.392	0.182	-0.061	-0.019	-1.766	-1.786	0.014	-1.766	-1.486
"RP5-1057I20.5"	-1.261	0.082	-0.503	0.098	0.047	0.59	-0.703	-0.098	-0.977	-1.09	0.115	-0.907	-1.484
"RP5-1074L1.4"	-0.998	0.535	-0.723	0.37	0.515	-0.056	-0.598	-0.536	-1.359	-1.429	0.11	-1.495	-1.754
"RP5-1092A3.4"	-1.189	0.475	0.071	0.143	0.124	0.172	-0.044	-0.243	-0.578	-0.87	-0.144	-0.603	-0.979
"RP5-1136G13.2"	0.517	0.244	0.212	0.179	0.077	-0.683	0.804	0.725	0.21	0.764	0.834	0.502	0.021
"RP5-1142A6.9"	-1.15	-0.066	-1.703	0.511	0.48	0.496	0.117	-0.711	-1.909	-1.905	0.143	-1.755	-1.933
"RP5-1159O4.1"	-1.605	-0.146	-0.567	-0.324	-0.713	-0.25	-0.268	-0.655	-0.082	-1.737	-1.786	-1.465	-1.88
"RP5-1159O4.2"	-0.566	-0.126	-0.427	-0.072	-0.274	0.175	-0.069	-0.091	-0.292	-0.816	-1.217	-0.607	-0.927
"RP5-1160K1.6"	-0.965	0.19	-0.626	0.101	0.336	2.097	-0.132	-0.66	-1.45	-1.49	-0.122	-0.754	-1.288
"RP5-1171I10.5"	-0.68	-0.117	0.102	0.281	0.654	1.535	0.451	0.174	-1.405	-1.881	0.69	0.036	0.044
"RP5-821D11.7"	-0.532	0.266	0.151	0.366	-0.191	0.816	0.323	0.17	-0.013	0.346	0.259	-0.091	-0.459
"RP5-855D21.1"	-1.27	-0.357	-1.088	0.241	0.281	-0.725	0.044	-0.663	-1.674	-1.973	-0.078	-1.202	-1.819
"RP5-855D21.3"	-0.695	0.146	-1.089	0.292	0.196	-1.398	-0.236	-0.892	-1.454	-1.546	-0.149	-1.497	-2.135
"RP5-857K21.11"	0.832	0.003	-0.464	-0.226	-0.783	0.74	-0.316	-0.33	0.273	-0.093	0.578	-0.323	-0.18
"RP5-857K21.6"	1.084	-0.364	0.431	-0.456	-0.402	2.498	0.393	0.055	0.961	0.257	2.209	0.608	0.777
"RP5-857K21.7"	0.766	0.267	-0.074	-0.228	-0.845	0.726	-0.127	-0.213	0.439	0.149	0.825	0.698	0.367
"RP5-858L17.1"	-0.519	-0.246	-1.017	0.011	1.487	1.824	-0.838	0.112	-0.866	-0.683	0.122	0.707	-0.221
"RP5-882C2.2"	-0.94	0.236	-0.457	-0.041	-0.029	0.764	0.23	-0.069	-1.111	-1.314	0.488	-1.291	-1.494
"RP5-890O3.9"	-1.375	-0.051	-0.401	0.036	0.309	0.454	0.001	-0.431	-1.057	-1.325	-0.321	-1.824	-1.732
"RP5-894A10.2"	-1.233	0.086	-0.291	0.302	0.705	2.451	-0.068	-0.441	-1.248	-1.512	0.272	-1.493	-1.842
"RP5-894A10.6"	-0.777	0.028	-0.218	-0.015	0.425	3.511	0.541	0.183	-0.636	-0.662	-0.184	-0.989	-1.11
"RP5-902P8.10"	-1.427	-0.156	-0.941	0.143	0.568	0.248	-0.329	-0.362	-0.806	-1.128	-0.228	-0.719	-1.452
"RP5-940J5.9"	7.983	4.725	4.191	2.054	5.092	-0.876	2.111	2.825	5.426	6.445	2.814	3.377	5.192
"RP5-965G21.3"	-0.585	-0.037	-0.067	0.046	-0.264	1.047	-0.472	-0.032	-0.172	-0.199	-0.011	-0.033	-0.585
"RP5-966M1.6"	-2.059	-0.191	-0.995	0.077	0.144	2.459	-0.681	-3.095	-1.928	-2.171	-1.595	-1.509	-2.288
"RP5-997D16.2"	-0.859	-0.185	-0.26	0.021	-0.064	0.759	0.212	-0.292	-0.717	-0.928	0.236	-0.387	-0.544
"RP6-159A1.4"	-1.503	-0.737	-0.615	0	0.404	0.878	0.231	-0.253	-2.727	-2.981	0.293	-0.194	-0.651
"RPA3"	0.899	1.387	1.123	1.262	0.059	-2.13	0.399	0.977	1.094	1.27	2.176	1.434	0.201
"RPAP3"	0.506	0.29	0.742	0.572	-0.278	-0.674	0.821	0.628	0.738	1.089	1.604	0.809	0.263
"RPGR"	-0.521	-0.498	-1.303	0.442	0.038	1.455	-0.219	0.031	-2.259	-2.349	0.259	-0.609	-1.583
"RPH3AL"	-1.391	-0.549	-0.595	-1.074	-0.435	1.055	0.48	-0.457	0.017	-1.477	-0.772	-1.461	0.136
"RPIA"	-0.506	0.643	0.082	0.151	0.253	-0.388	0.991	0.766	0.358	0.568	1.142	0.387	0.155
"RPL10P3"	0.856	0.472	0.533	0.008	0.391	0.451	0.787	0.88	1.189	0.864	1.275	1.007	0.937
"RPL12P4"	-1.252	-0.555	-1.162	-0.133	0.196	-0.879	-0.207	-0.191	-0.951	-1.176	-0.71	-1.666	-0.751
"RPL13AP20"	1.03	0.486	0.731	0.119	0.278	0.977	0.969	0.529	0.815	0.266	1.585	0.602	0.506
"RPL13AP5"	1.073	0.389	0.274	-0.323	0.75	1.396	2.294	1.122	0.455	0.816	1.052	0.105	0.404
"RPL14P1"	0.843	-0.184	-0.044	-0.621	0.22	-0.447	1.306	1.121	0.297	-0.009	0.562	0.215	0.428
"RPL15P3"	0.947	0.36	-0.036	-0.385	-0.11	-0.232	1.999	1.271	0.818	0.563	1.373	0.838	0.805
"RPL18"	0.677	0.265	-0.047	-0.045	0.896	-0.744	1.242	0.845	0.275	0.504	0.401	-0.522	0.287
"RPL18AP3"	1.262	0.364	-0.214	-0.022	0.844	-0.622	1.784	0.944	0.19	0.477	0.27	-0.387	-0.138
"RPL21"	-0.846	-0.56	-0.68	-0.226	0.345	0.128	0.962	0.452	-0.536	-0.424	0.225	-0.87	-0.119
